feature,mean_abs_shap,source
EXT_SOURCE_3,0.3182486048958511,Application
EXT_SOURCE_2,0.2750363533035197,Application
EXT_SOURCE_1,0.1554429067326765,Application
AMT_GOODS_PRICE,0.1351749060572364,Application
ORGANIZATION_TYPE,0.0993126268024991,Application
